
----------- Ïðîòîêîë ------------ Äàòà: 15.12.2025 16:58:13 ------------ 


----- Ïàðàìåòðû --------
-in: in.txt
-out: in.txt.out
-log: in.txt.log
---- Èñõîäíûå äàííûå ------
Êîëè÷åñòâî ñèìâîëîâ: 1845
Ïðîèãíîðèðîâàíî:   0
Êîëè÷åñòâî ñòðîê:  94

------------------------------ ÒÀÁËÈÖÀ ËÅÊÑÅÌ  ------------------------

|  N | ËÅÊÑÅÌÀ | ÑÒÐÎÊÀ | ÈÍÄÅÊÑ Â ÒÈ |
1689:L->i&l;             i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1690: SAVESTATE:          80
1690:                    i+l;ui;}i=i(l,l,l);ui;eti     i&l;C}}$            
1691:                    +l;ui;}i=i(l,l,l);ui;eti;     &l;C}}$             
1692: TS_NOK/NS_NORULECHï¿½IN
1692: RESSTATE            
1692:                    i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1693:L->i|l;             i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1694: SAVESTATE:          80
1694:                    i+l;ui;}i=i(l,l,l);ui;eti     i|l;C}}$            
1695:                    +l;ui;}i=i(l,l,l);ui;eti;     |l;C}}$             
1696: TS_NOK/NS_NORULECHï¿½IN
1696: RESSTATE            
1696:                    i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1697: TNS_NORULECHAIN/NS_NORULE
1697: RESSTATE            
1697:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1698: TNS_NORULECHAIN/NS_NORULE
1698: RESSTATE            
1698:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1699:I->i@l              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1700: SAVESTATE:          78
1700:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i@l]{C}}$           
1701:                    @i]{i=i+l;ui;}i=i(l,l,l);     @l]{C}}$            
1702:                    i]{i=i+l;ui;}i=i(l,l,l);u     l]{C}}$             
1703: TS_NOK/NS_NORULECHï¿½IN
1703: RESSTATE            
1703:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1704: TNS_NORULECHAIN/NS_NORULE
1704: RESSTATE            
1704:                    [i@i]{i=i+l;ui;}i=i(l,l,l     X}$                 
1705:X->[I]{C}           [i@i]{i=i+l;ui;}i=i(l,l,l     X}$                 
1706: SAVESTATE:          77
1706:                    [i@i]{i=i+l;ui;}i=i(l,l,l     [I]{C}}$            
1707:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1708:I->i!i              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1709: SAVESTATE:          78
1709:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i!i]{C}}$           
1710:                    @i]{i=i+l;ui;}i=i(l,l,l);     !i]{C}}$            
1711: TS_NOK/NS_NORULECHï¿½IN
1711: RESSTATE            
1711:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1712:I->i!l              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1713: SAVESTATE:          78
1713:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i!l]{C}}$           
1714:                    @i]{i=i+l;ui;}i=i(l,l,l);     !l]{C}}$            
1715: TS_NOK/NS_NORULECHï¿½IN
1715: RESSTATE            
1715:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1716:I->i?i              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1717: SAVESTATE:          78
1717:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i?i]{C}}$           
1718:                    @i]{i=i+l;ui;}i=i(l,l,l);     ?i]{C}}$            
1719: TS_NOK/NS_NORULECHï¿½IN
1719: RESSTATE            
1719:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1720:I->i?l              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1721: SAVESTATE:          78
1721:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i?l]{C}}$           
1722:                    @i]{i=i+l;ui;}i=i(l,l,l);     ?l]{C}}$            
1723: TS_NOK/NS_NORULECHï¿½IN
1723: RESSTATE            
1723:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1724:I->i>i              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1725: SAVESTATE:          78
1725:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i>i]{C}}$           
1726:                    @i]{i=i+l;ui;}i=i(l,l,l);     >i]{C}}$            
1727: TS_NOK/NS_NORULECHï¿½IN
1727: RESSTATE            
1727:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1728:I->i>l              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1729: SAVESTATE:          78
1729:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i>l]{C}}$           
1730:                    @i]{i=i+l;ui;}i=i(l,l,l);     >l]{C}}$            
1731: TS_NOK/NS_NORULECHï¿½IN
1731: RESSTATE            
1731:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1732:I->i<i              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1733: SAVESTATE:          78
1733:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i<i]{C}}$           
1734:                    @i]{i=i+l;ui;}i=i(l,l,l);     <i]{C}}$            
1735: TS_NOK/NS_NORULECHï¿½IN
1735: RESSTATE            
1735:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1736:I->i<l              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1737: SAVESTATE:          78
1737:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i<l]{C}}$           
1738:                    @i]{i=i+l;ui;}i=i(l,l,l);     <l]{C}}$            
1739: TS_NOK/NS_NORULECHï¿½IN
1739: RESSTATE            
1739:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1740:I->i#i              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1741: SAVESTATE:          78
1741:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i#i]{C}}$           
1742:                    @i]{i=i+l;ui;}i=i(l,l,l);     #i]{C}}$            
1743: TS_NOK/NS_NORULECHï¿½IN
1743: RESSTATE            
1743:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1744:I->i#l              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1745: SAVESTATE:          78
1745:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i#l]{C}}$           
1746:                    @i]{i=i+l;ui;}i=i(l,l,l);     #l]{C}}$            
1747: TS_NOK/NS_NORULECHï¿½IN
1747: RESSTATE            
1747:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1748:I->i@i              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1749: SAVESTATE:          78
1749:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i@i]{C}}$           
1750:                    @i]{i=i+l;ui;}i=i(l,l,l);     @i]{C}}$            
1751:                    i]{i=i+l;ui;}i=i(l,l,l);u     i]{C}}$             
1752:                    ]{i=i+l;ui;}i=i(l,l,l);ui     ]{C}}$              
1753:                    {i=i+l;ui;}i=i(l,l,l);ui;     {C}}$               
1754:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1755:C->i=E;             i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1756: SAVESTATE:          79
1756:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=E;}}$             
1757:                    =i+l;ui;}i=i(l,l,l);ui;et     =E;}}$              
1758:                    i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1759:E->i                i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1760: SAVESTATE:          80
1760:                    i+l;ui;}i=i(l,l,l);ui;eti     i;}}$               
1761:                    +l;ui;}i=i(l,l,l);ui;eti;     ;}}$                
1762: TS_NOK/NS_NORULECHï¿½IN
1762: RESSTATE            
1762:                    i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1763:E->i(W)             i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1764: SAVESTATE:          80
1764:                    i+l;ui;}i=i(l,l,l);ui;eti     i(W);}}$            
1765:                    +l;ui;}i=i(l,l,l);ui;eti;     (W);}}$             
1766: TS_NOK/NS_NORULECHï¿½IN
1766: RESSTATE            
1766:                    i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1767:E->i(F)             i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1768: SAVESTATE:          80
1768:                    i+l;ui;}i=i(l,l,l);ui;eti     i(F);}}$            
1769:                    +l;ui;}i=i(l,l,l);ui;eti;     (F);}}$             
1770: TS_NOK/NS_NORULECHï¿½IN
1770: RESSTATE            
1770:                    i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1771:E->iM               i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1772: SAVESTATE:          80
1772:                    i+l;ui;}i=i(l,l,l);ui;eti     iM;}}$              
1773:                    +l;ui;}i=i(l,l,l);ui;eti;     M;}}$               
1774:M->+EA              +l;ui;}i=i(l,l,l);ui;eti;     M;}}$               
1775: SAVESTATE:          81
1775:                    +l;ui;}i=i(l,l,l);ui;eti;     +EA;}}$             
1776:                    l;ui;}i=i(l,l,l);ui;eti;e     EA;}}$              
1777:E->l                l;ui;}i=i(l,l,l);ui;eti;e     EA;}}$              
1778: SAVESTATE:          82
1778:                    l;ui;}i=i(l,l,l);ui;eti;e     lA;}}$              
1779:                    ;ui;}i=i(l,l,l);ui;eti;et     A;}}$               
1780: TNS_NORULECHAIN/NS_NORULE
1780: RESSTATE            
1780:                    l;ui;}i=i(l,l,l);ui;eti;e     EA;}}$              
1781:E->lM               l;ui;}i=i(l,l,l);ui;eti;e     EA;}}$              
1782: SAVESTATE:          82
1782:                    l;ui;}i=i(l,l,l);ui;eti;e     lMA;}}$             
1783:                    ;ui;}i=i(l,l,l);ui;eti;et     MA;}}$              
1784: TNS_NORULECHAIN/NS_NORULE
1784: RESSTATE            
1784:                    l;ui;}i=i(l,l,l);ui;eti;e     EA;}}$              
1785: TNS_NORULECHAIN/NS_NORULE
1785: RESSTATE            
1785:                    +l;ui;}i=i(l,l,l);ui;eti;     M;}}$               
1786:M->+E               +l;ui;}i=i(l,l,l);ui;eti;     M;}}$               
1787: SAVESTATE:          81
1787:                    +l;ui;}i=i(l,l,l);ui;eti;     +E;}}$              
1788:                    l;ui;}i=i(l,l,l);ui;eti;e     E;}}$               
1789:E->l                l;ui;}i=i(l,l,l);ui;eti;e     E;}}$               
1790: SAVESTATE:          82
1790:                    l;ui;}i=i(l,l,l);ui;eti;e     l;}}$               
1791:                    ;ui;}i=i(l,l,l);ui;eti;et     ;}}$                
1792:                    ui;}i=i(l,l,l);ui;eti;eti     }}$                 
1793: TS_NOK/NS_NORULECHï¿½IN
1793: RESSTATE            
1793:                    l;ui;}i=i(l,l,l);ui;eti;e     E;}}$               
1794:E->lM               l;ui;}i=i(l,l,l);ui;eti;e     E;}}$               
1795: SAVESTATE:          82
1795:                    l;ui;}i=i(l,l,l);ui;eti;e     lM;}}$              
1796:                    ;ui;}i=i(l,l,l);ui;eti;et     M;}}$               
1797: TNS_NORULECHAIN/NS_NORULE
1797: RESSTATE            
1797:                    l;ui;}i=i(l,l,l);ui;eti;e     E;}}$               
1798: TNS_NORULECHAIN/NS_NORULE
1798: RESSTATE            
1798:                    +l;ui;}i=i(l,l,l);ui;eti;     M;}}$               
1799: TNS_NORULECHAIN/NS_NORULE
1799: RESSTATE            
1799:                    i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1800:E->i(W)             i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1801: SAVESTATE:          80
1801:                    i+l;ui;}i=i(l,l,l);ui;eti     i(W);}}$            
1802:                    +l;ui;}i=i(l,l,l);ui;eti;     (W);}}$             
1803: TS_NOK/NS_NORULECHï¿½IN
1803: RESSTATE            
1803:                    i+l;ui;}i=i(l,l,l);ui;eti     E;}}$               
1804: TNS_NORULECHAIN/NS_NORULE
1804: RESSTATE            
1804:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1805:C->i=E;C            i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1806: SAVESTATE:          79
1806:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=E;C}}$            
1807:                    =i+l;ui;}i=i(l,l,l);ui;et     =E;C}}$             
1808:                    i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1809:E->i                i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1810: SAVESTATE:          80
1810:                    i+l;ui;}i=i(l,l,l);ui;eti     i;C}}$              
1811:                    +l;ui;}i=i(l,l,l);ui;eti;     ;C}}$               
1812: TS_NOK/NS_NORULECHï¿½IN
1812: RESSTATE            
1812:                    i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1813:E->i(W)             i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1814: SAVESTATE:          80
1814:                    i+l;ui;}i=i(l,l,l);ui;eti     i(W);C}}$           
1815:                    +l;ui;}i=i(l,l,l);ui;eti;     (W);C}}$            
1816: TS_NOK/NS_NORULECHï¿½IN
1816: RESSTATE            
1816:                    i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1817:E->i(F)             i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1818: SAVESTATE:          80
1818:                    i+l;ui;}i=i(l,l,l);ui;eti     i(F);C}}$           
1819:                    +l;ui;}i=i(l,l,l);ui;eti;     (F);C}}$            
1820: TS_NOK/NS_NORULECHï¿½IN
1820: RESSTATE            
1820:                    i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1821:E->iM               i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1822: SAVESTATE:          80
1822:                    i+l;ui;}i=i(l,l,l);ui;eti     iM;C}}$             
1823:                    +l;ui;}i=i(l,l,l);ui;eti;     M;C}}$              
1824:M->+EA              +l;ui;}i=i(l,l,l);ui;eti;     M;C}}$              
1825: SAVESTATE:          81
1825:                    +l;ui;}i=i(l,l,l);ui;eti;     +EA;C}}$            
1826:                    l;ui;}i=i(l,l,l);ui;eti;e     EA;C}}$             
1827:E->l                l;ui;}i=i(l,l,l);ui;eti;e     EA;C}}$             
1828: SAVESTATE:          82
1828:                    l;ui;}i=i(l,l,l);ui;eti;e     lA;C}}$             
1829:                    ;ui;}i=i(l,l,l);ui;eti;et     A;C}}$              
1830: TNS_NORULECHAIN/NS_NORULE
1830: RESSTATE            
1830:                    l;ui;}i=i(l,l,l);ui;eti;e     EA;C}}$             
1831:E->lM               l;ui;}i=i(l,l,l);ui;eti;e     EA;C}}$             
1832: SAVESTATE:          82
1832:                    l;ui;}i=i(l,l,l);ui;eti;e     lMA;C}}$            
1833:                    ;ui;}i=i(l,l,l);ui;eti;et     MA;C}}$             
1834: TNS_NORULECHAIN/NS_NORULE
1834: RESSTATE            
1834:                    l;ui;}i=i(l,l,l);ui;eti;e     EA;C}}$             
1835: TNS_NORULECHAIN/NS_NORULE
1835: RESSTATE            
1835:                    +l;ui;}i=i(l,l,l);ui;eti;     M;C}}$              
1836:M->+E               +l;ui;}i=i(l,l,l);ui;eti;     M;C}}$              
1837: SAVESTATE:          81
1837:                    +l;ui;}i=i(l,l,l);ui;eti;     +E;C}}$             
1838:                    l;ui;}i=i(l,l,l);ui;eti;e     E;C}}$              
1839:E->l                l;ui;}i=i(l,l,l);ui;eti;e     E;C}}$              
1840: SAVESTATE:          82
1840:                    l;ui;}i=i(l,l,l);ui;eti;e     l;C}}$              
1841:                    ;ui;}i=i(l,l,l);ui;eti;et     ;C}}$               
1842:                    ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1843:C->ui;              ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1844: SAVESTATE:          83
1844:                    ui;}i=i(l,l,l);ui;eti;eti     ui;}}$              
1845:                    i;}i=i(l,l,l);ui;eti;eti;     i;}}$               
1846:                    ;}i=i(l,l,l);ui;eti;eti;e     ;}}$                
1847:                    }i=i(l,l,l);ui;eti;eti;et     }}$                 
1848:                    i=i(l,l,l);ui;eti;eti;eti     }$                  
1849: TS_NOK/NS_NORULECHï¿½IN
1849: RESSTATE            
1849:                    ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1850:C->ui;C             ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1851: SAVESTATE:          83
1851:                    ui;}i=i(l,l,l);ui;eti;eti     ui;C}}$             
1852:                    i;}i=i(l,l,l);ui;eti;eti;     i;C}}$              
1853:                    ;}i=i(l,l,l);ui;eti;eti;e     ;C}}$               
1854:                    }i=i(l,l,l);ui;eti;eti;et     C}}$                
1855: TNS_NORULECHAIN/NS_NORULE
1855: RESSTATE            
1855:                    ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1856:C->ul;              ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1857: SAVESTATE:          83
1857:                    ui;}i=i(l,l,l);ui;eti;eti     ul;}}$              
1858:                    i;}i=i(l,l,l);ui;eti;eti;     l;}}$               
1859: TS_NOK/NS_NORULECHï¿½IN
1859: RESSTATE            
1859:                    ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1860:C->ul;C             ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1861: SAVESTATE:          83
1861:                    ui;}i=i(l,l,l);ui;eti;eti     ul;C}}$             
1862:                    i;}i=i(l,l,l);ui;eti;eti;     l;C}}$              
1863: TS_NOK/NS_NORULECHï¿½IN
1863: RESSTATE            
1863:                    ui;}i=i(l,l,l);ui;eti;eti     C}}$                
1864: TNS_NORULECHAIN/NS_NORULE
1864: RESSTATE            
1864:                    l;ui;}i=i(l,l,l);ui;eti;e     E;C}}$              
1865:E->lM               l;ui;}i=i(l,l,l);ui;eti;e     E;C}}$              
1866: SAVESTATE:          82
1866:                    l;ui;}i=i(l,l,l);ui;eti;e     lM;C}}$             
1867:                    ;ui;}i=i(l,l,l);ui;eti;et     M;C}}$              
1868: TNS_NORULECHAIN/NS_NORULE
1868: RESSTATE            
1868:                    l;ui;}i=i(l,l,l);ui;eti;e     E;C}}$              
1869: TNS_NORULECHAIN/NS_NORULE
1869: RESSTATE            
1869:                    +l;ui;}i=i(l,l,l);ui;eti;     M;C}}$              
1870: TNS_NORULECHAIN/NS_NORULE
1870: RESSTATE            
1870:                    i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1871:E->i(W)             i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1872: SAVESTATE:          80
1872:                    i+l;ui;}i=i(l,l,l);ui;eti     i(W);C}}$           
1873:                    +l;ui;}i=i(l,l,l);ui;eti;     (W);C}}$            
1874: TS_NOK/NS_NORULECHï¿½IN
1874: RESSTATE            
1874:                    i+l;ui;}i=i(l,l,l);ui;eti     E;C}}$              
1875: TNS_NORULECHAIN/NS_NORULE
1875: RESSTATE            
1875:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1876:C->i=l;             i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1877: SAVESTATE:          79
1877:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=l;}}$             
1878:                    =i+l;ui;}i=i(l,l,l);ui;et     =l;}}$              
1879:                    i+l;ui;}i=i(l,l,l);ui;eti     l;}}$               
1880: TS_NOK/NS_NORULECHï¿½IN
1880: RESSTATE            
1880:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1881:C->i=l;C            i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1882: SAVESTATE:          79
1882:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=l;C}}$            
1883:                    =i+l;ui;}i=i(l,l,l);ui;et     =l;C}}$             
1884:                    i+l;ui;}i=i(l,l,l);ui;eti     l;C}}$              
1885: TS_NOK/NS_NORULECHï¿½IN
1885: RESSTATE            
1885:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1886:C->i=i(E);C         i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1887: SAVESTATE:          79
1887:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=i(E);C}}$         
1888:                    =i+l;ui;}i=i(l,l,l);ui;et     =i(E);C}}$          
1889:                    i+l;ui;}i=i(l,l,l);ui;eti     i(E);C}}$           
1890:                    +l;ui;}i=i(l,l,l);ui;eti;     (E);C}}$            
1891: TS_NOK/NS_NORULECHï¿½IN
1891: RESSTATE            
1891:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1892:C->i=i(E);          i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1893: SAVESTATE:          79
1893:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=i(E);}}$          
1894:                    =i+l;ui;}i=i(l,l,l);ui;et     =i(E);}}$           
1895:                    i+l;ui;}i=i(l,l,l);ui;eti     i(E);}}$            
1896:                    +l;ui;}i=i(l,l,l);ui;eti;     (E);}}$             
1897: TS_NOK/NS_NORULECHï¿½IN
1897: RESSTATE            
1897:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1898:C->i(W);            i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1899: SAVESTATE:          79
1899:                    i=i+l;ui;}i=i(l,l,l);ui;e     i(W);}}$            
1900:                    =i+l;ui;}i=i(l,l,l);ui;et     (W);}}$             
1901: TS_NOK/NS_NORULECHï¿½IN
1901: RESSTATE            
1901:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1902:C->i(W);C           i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1903: SAVESTATE:          79
1903:                    i=i+l;ui;}i=i(l,l,l);ui;e     i(W);C}}$           
1904:                    =i+l;ui;}i=i(l,l,l);ui;et     (W);C}}$            
1905: TS_NOK/NS_NORULECHï¿½IN
1905: RESSTATE            
1905:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1906:C->i=L              i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1907: SAVESTATE:          79
1907:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=L}}$              
1908:                    =i+l;ui;}i=i(l,l,l);ui;et     =L}}$               
1909:                    i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1910:L->i&i;             i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1911: SAVESTATE:          80
1911:                    i+l;ui;}i=i(l,l,l);ui;eti     i&i;}}$             
1912:                    +l;ui;}i=i(l,l,l);ui;eti;     &i;}}$              
1913: TS_NOK/NS_NORULECHï¿½IN
1913: RESSTATE            
1913:                    i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1914:L->i|i;             i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1915: SAVESTATE:          80
1915:                    i+l;ui;}i=i(l,l,l);ui;eti     i|i;}}$             
1916:                    +l;ui;}i=i(l,l,l);ui;eti;     |i;}}$              
1917: TS_NOK/NS_NORULECHï¿½IN
1917: RESSTATE            
1917:                    i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1918:L->i&l;             i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1919: SAVESTATE:          80
1919:                    i+l;ui;}i=i(l,l,l);ui;eti     i&l;}}$             
1920:                    +l;ui;}i=i(l,l,l);ui;eti;     &l;}}$              
1921: TS_NOK/NS_NORULECHï¿½IN
1921: RESSTATE            
1921:                    i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1922:L->i|l;             i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1923: SAVESTATE:          80
1923:                    i+l;ui;}i=i(l,l,l);ui;eti     i|l;}}$             
1924:                    +l;ui;}i=i(l,l,l);ui;eti;     |l;}}$              
1925: TS_NOK/NS_NORULECHï¿½IN
1925: RESSTATE            
1925:                    i+l;ui;}i=i(l,l,l);ui;eti     L}}$                
1926: TNS_NORULECHAIN/NS_NORULE
1926: RESSTATE            
1926:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1927:C->i=LC             i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1928: SAVESTATE:          79
1928:                    i=i+l;ui;}i=i(l,l,l);ui;e     i=LC}}$             
1929:                    =i+l;ui;}i=i(l,l,l);ui;et     =LC}}$              
1930:                    i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1931:L->i&i;             i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1932: SAVESTATE:          80
1932:                    i+l;ui;}i=i(l,l,l);ui;eti     i&i;C}}$            
1933:                    +l;ui;}i=i(l,l,l);ui;eti;     &i;C}}$             
1934: TS_NOK/NS_NORULECHï¿½IN
1934: RESSTATE            
1934:                    i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1935:L->i|i;             i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1936: SAVESTATE:          80
1936:                    i+l;ui;}i=i(l,l,l);ui;eti     i|i;C}}$            
1937:                    +l;ui;}i=i(l,l,l);ui;eti;     |i;C}}$             
1938: TS_NOK/NS_NORULECHï¿½IN
1938: RESSTATE            
1938:                    i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1939:L->i&l;             i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1940: SAVESTATE:          80
1940:                    i+l;ui;}i=i(l,l,l);ui;eti     i&l;C}}$            
1941:                    +l;ui;}i=i(l,l,l);ui;eti;     &l;C}}$             
1942: TS_NOK/NS_NORULECHï¿½IN
1942: RESSTATE            
1942:                    i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1943:L->i|l;             i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1944: SAVESTATE:          80
1944:                    i+l;ui;}i=i(l,l,l);ui;eti     i|l;C}}$            
1945:                    +l;ui;}i=i(l,l,l);ui;eti;     |l;C}}$             
1946: TS_NOK/NS_NORULECHï¿½IN
1946: RESSTATE            
1946:                    i+l;ui;}i=i(l,l,l);ui;eti     LC}}$               
1947: TNS_NORULECHAIN/NS_NORULE
1947: RESSTATE            
1947:                    i=i+l;ui;}i=i(l,l,l);ui;e     C}}$                
1948: TNS_NORULECHAIN/NS_NORULE
1948: RESSTATE            
1948:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1949:I->i@l              i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1950: SAVESTATE:          78
1950:                    i@i]{i=i+l;ui;}i=i(l,l,l)     i@l]{C}}$           
1951:                    @i]{i=i+l;ui;}i=i(l,l,l);     @l]{C}}$            
1952:                    i]{i=i+l;ui;}i=i(l,l,l);u     l]{C}}$             
1953: TS_NOK/NS_NORULECHï¿½IN
1953: RESSTATE            
1953:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}}$             
1954: TNS_NORULECHAIN/NS_NORULE
1954: RESSTATE            
1954:                    [i@i]{i=i+l;ui;}i=i(l,l,l     X}$                 
1955: TNS_NORULECHAIN/NS_NORULE
1955: RESSTATE            
1955:                    w[i@i]{i=i+l;ui;}i=i(l,l,     N}$                 
1956:N->wXN              w[i@i]{i=i+l;ui;}i=i(l,l,     N}$                 
1957: SAVESTATE:          76
1957:                    w[i@i]{i=i+l;ui;}i=i(l,l,     wXN}$               
1958:                    [i@i]{i=i+l;ui;}i=i(l,l,l     XN}$                
1959:X->[I]{C}b{C}       [i@i]{i=i+l;ui;}i=i(l,l,l     XN}$                
1960: SAVESTATE:          77
1960:                    [i@i]{i=i+l;ui;}i=i(l,l,l     [I]{C}b{C}N}$       
1961:                    i@i]{i=i+l;ui;}i=i(l,l,l)     I]{C}b{C}N}$        
